license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GK965MF;Davide Papa - Eco Liri;INVESTOR;Skoda;Kamiq;Large (group D);IDMR;Cassino;1;Yes;Inattiva;No;2025-07-08; 1,00 € ; -   € ; 68,20 € ;dic-26
GK976MF;Davide Papa - Eco Liri;INVESTOR;Jeep;Renegade;Large Automatic (group D1);IDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-09; 1,00 € ; -   € ; 74,08 € ;dic-26
GK977MF;Davide Papa - Eco Liri;INVESTOR;Jeep;Compass or similar;Suv Automatic (group J1);FFAH;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-17; 1,00 € ; -   € ; 82,61 € ;dic-26
GM423XA;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;A Noleggio;Yes;2025-08-01; 1,00 € ; -   € ; -   € ;dic-26
GM820ER;Davide Papa - Eco Liri;INVESTOR;Citroen;C3 Aircross;Large (group D);IDMR;Cassino;1;Yes;A Noleggio;Yes;2025-07-22; 1,00 € ; -   € ; 58,84 € ;dic-26
GN121WH;Davide Papa - Eco Liri;INVESTOR;Peugeot;308 SW;Station Wagon Automatic (group S1);IWAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 64,00 € ;dic-26
GN247MT;Davide Papa - Eco Liri;INVESTOR;Fiat;Tipo SW;Station Wagon Automatic (group S1);IWAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-15; 1,00 € ; -   € ; 62,71 € ;dic-26
GN250MT;Davide Papa - Eco Liri;INVESTOR;Fiat;Tipo SW;Station Wagon Automatic (group S1);IWAR;Roma Fiumicino;4;Yes;Inattiva;No;2025-07-07; 1,00 € ; -   € ; 65,17 € ;dic-26
GN424YL;Davide Papa - Eco Liri;INVESTOR;Volkswagen;T-Cross;Large (group D);IFMR;Cassino;1;Yes;Inattiva;No;2025-07-10; 1,00 € ; -   € ; 62,00 € ;dic-26
GN568MS;Davide Papa - Eco Liri;INVESTOR;Jeep;Compass or similar;Suv Automatic (group J1);FFAH;Roma Fiumicino;4;Yes;Inattiva;No;2025-07-04; 1,00 € ; -   € ; 82,57 € ;dic-26
GN573MS;Davide Papa - Eco Liri;INVESTOR;Jeep;Compass or similar;Suv Automatic (group J1);FFAH;Cassino;1;Yes;Inattiva;No;2025-07-07; 1,00 € ; -   € ; 81,12 € ;dic-26
GP473AL;Davide Papa - Eco Liri;INVESTOR;Opel;Crossland;Large (group D);CDMR;Roma Termini;2;Yes;Inattiva;No;2025-07-16; 1,00 € ; -   € ; 55,61 € ;dic-26
GP704RB;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Golf;Large (group D);CDMR;Roma Termini;2;Yes;Disponibile;Yes;2025-07-08; 1,00 € ; -   € ; 74,39 € ;dic-26
GP854RC;Davide Papa - Eco Liri;INVESTOR;DS;4;Premium (group P);PEAR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-07-22; 1,00 € ; -   € ; 76,92 € ;dic-26
GP989RB;Davide Papa - Eco Liri;INVESTOR;Alfa Romeo;Tonale;Premium (group P);PFAR;Trapani Porto;10;Yes;Disponibile;Yes;2025-07-04; 1,00 € ; -   € ; 77,44 € ;dic-26
GR386AD;Davide Papa - Eco Liri;INVESTOR;Volkswagen;T-Cross;Large (group D);IFMR;Sorrento;9;Yes;A Noleggio;Yes;2025-07-16; 1,00 € ; -   € ; 69,23 € ;dic-26
GR483PB;Davide Papa - Eco Liri;INVESTOR;Skoda;Octavia Sw;Station Wagon Automatic (group S1);IWAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-10; 1,00 € ; -   € ; 73,12 € ;dic-26
GR485PB;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Taigo;Large (group D);IDMR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-07-10; 1,00 € ; -   € ; 69,11 € ;dic-26
GR488PB;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Taigo;Large (group D);IDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-10; 1,00 € ; -   € ; 67,93 € ;dic-26
GR490PB;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Golf Aut;Large Automatic (group D1);CDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 82,72 € ;dic-26
GR912AG;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Taigo;Large (group D);IDMR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-04; 1,00 € ; -   € ; 69,11 € ;dic-26
GS410FA;Davide Papa - Eco Liri;INVESTOR;Skoda;Octavia Sw;Station Wagon Automatic (group S1);IWAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-04; 1,00 € ; -   € ; 75,24 € ;dic-26
GT060NY;Davide Papa - Eco Liri;INVESTOR;Citroen;C3;Economy (group C);EDMR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-15; 1,00 € ; -   € ; 56,77 € ;dic-26
GT143VW;Davide Papa - Eco Liri;INVESTOR;Skoda;Kamiq;Large (group D);IDMR;Cassino;1;Yes;A Noleggio;Yes;2025-07-16; 1,00 € ; -   € ; 68,80 € ;dic-26
GT144VW;Davide Papa - Eco Liri;INVESTOR;Skoda;Scala;Economy (group C);EDMR;Cassino;1;Yes;Inattiva;No;2025-07-16; 1,00 € ; -   € ; 65,36 € ;dic-26
